"waterbody","date","dateNUTR","year","town","latitude","longitude","state","data_source","mult_survey","off_season","surfacearea_ha","surfaceaarea_sqm","perimeter_m","shoreline_development","depth_max_m","depth_avg_m","forested_shoreline_prop","inflow","outflow","FP_presence","FPcover_avg","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","regime","azolla_cover_prop","lminor_cover_prop","lvaldiviana_cover_prop","ltrisulca_cover_prop","riccia_cover_prop","spolyrhiza_cover_prop","wolffia_cover_prop","wbrasiliensis_cover_prop","wborealis_cover_prop","TOTP_n","TOTP_avg","TOTP_SE","PO4_n","PO4_avg","PO4_SE","TOTN_n","TOTN_avg","TOTN_SE","NO3_n","NO3_avg","NO3_SE","NH4_n","NH4_avg","NH4_SE","totNtotP_n","totNtotP_avg","totNtotP_SE","PH_n","PH_avg","PH_SE","COND_n","COND_avg","COND_SE","DO_n","DO_avg","DO_SE","TEMP_n","TEMP_avg","TEMP_SE","ALK_n","ALK_avg","ALK_SE","secchi_n","secchi_avg","secchi_SE","notes","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_verna","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","elatine_triandra","eleocharis","eleocharis_acic","eleocharis_ellip","ellocharis_parv","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_dub","ludwigia_lac","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","nymphoides_pelt","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_frie","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_vase","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"Route 7 Pond","8/19/2013","8/19/2013","2013","Wilton",41.1789,73.42,"CT","CAES","N","N",3.56,35612.34,1050.71,1.587,5,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,"SAV",0,0,0,0,0,0,0,0,0,2,0.0123,0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.85,0.25,2,291,10,1,9.3,NA,1,23.2,NA,2,42,0,1,2,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmon Brook","8/4/2005","8/4/2005","2005","Glastonbury",41.718,72.6096,"CT","CAES","N","N",0.45,4285.418,323.347,1.367,2,NA,0.4815,NA,NA,"Y",0.0316,0.0316,0.0316,0,0,1,0,0,0,0,0,0,0,4,1,3,"SAV",0,0.02658,0,0,0,0.005,0,0,0,2,0.0995,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.7,0.8,2,116,6,1,12.5,NA,1,29.7,NA,2,22.13,1.125,1,0.7,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schreeder Pond","7/28/2005","7/28/2005","2005","Killingworth",41.3684,72.5891,"CT","CAES","N","N",1.58,15782.74,823.46,1.86,3,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,"SAV",0,0,0,0,0,0,0,0,0,2,0.043,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.95,0.15,2,66.35,10.35,1,6.5,NA,1,26.3,NA,2,12.75,3.75,1,1.7,NA,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Scribner Pond","7/27/2011","7/27/2011","2011","Norwalk",41.1091,73.4434,"CT","CAES","N","N",0.97,7564.37,591.56,1.919,2,1,0.78,NA,NA,"Y",0.6039,0.7105,0.4973,0,0,1,0,0,0,0,0,0,0,3,1,2,"FP?",0,0.49733,0,0,0,0,0,0,0,2,0.5045,0.1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.15,0.25,2,117.5,10.5,1,8.1,NA,1,27.1,NA,2,34.15,4.15,1,1.5,NA,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shelton Reservoir #2","7/15/2005","7/15/2005","2005","Shelton",41.3193,73.1107,"CT","CAES","N","N",2.95,29827.425,940.52,1.536,3,NA,0.8287,NA,NA,"Y",1e-04,1e-04,1e-04,0,0,1,0,0,0,0,0,0,0,12,1,11,"SAV",0,0.00011,0,0,0,0,0,0,0,2,0.0415,0.0175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.4,0.1,2,153,1,1,8.3,NA,1,25.7,NA,2,18,1.5,1,2.2,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"Shelton Reservoir #3","7/15/2005","7/15/2005","2005","Shelton",41.308,73.1197,"CT","CAES","N","N",4.17,41682.621,1263.54,1.733,3.4,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,"SAV",0,0,0,0,0,0,0,0,0,2,0.028,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.2,0.2,2,102,2,1,6.7,NA,1,27.3,NA,2,7.13,1.125,1,3,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Silver Lake","combined","7/8/2008","comb","Berlin, Meriden",41.345,72.4621,"CT","CAES","Y","N",59.08,602535.061,4728.41,1.718,4.877,1.524,0.7296,NA,NA,"Y",0.1086,0.1086,0.1086,0,0,0,0,0,0,1,0,0,1,19,2,17,"SAV",0,0,0,0,0,0.07107,0,0.03751,0,2,0.0728,0.0478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.725,0.325,2,247.25,28.25,2,0.05065,0.04915,2,26.1,0.7,2,71.625,3.375,2,1.4,0.4,"",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Silvias Pond","9/26/2005","9/26/2005","2005","Stonington",41.3604,71.9092,"CT","CAES","N","N",8.01,80127.757,1834.03,1.975,3,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,"SAV",0,0,0,0,0,0,0,0,0,2,0.0905,0.0265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.95,0.55,1,226,82,1,4.5,NA,1,20.9,NA,NA,86.25,15.75,1,1.1,NA,"",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slopers Pond","9/7/2010","9/7/2010","2010","Southington",41.5911,72.839,"CT","CAES","N","N",5.99,64688.701,1298.04,1.44,3,NA,0.8032,NA,NA,"Y",0.0042,0.0042,0.0042,0,0,1,0,0,0,0,0,0,0,7,1,6,"SAV",0,0.00425,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11.5,NA,1,25.4,NA,NA,NA,NA,1,2.1,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sound Avenue Pond","combined","8/23/2013","comb","Riverhead",40.9677,72.6279,"NY","MJM","Y","N",0.24,2422.19,218.7,1.254,1,NA,1,NA,NA,"Y/N",0.5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"shift",0,0,0,0,0,0,0,0.5,0,4,0.45717,0.009178917,4,0.21996,0.01549,4,0.26755,0.01762612,4,0.03779,0.00586,4,0.02817,0.00894,NA,0.5852,NA,4,6.5,0,4,54.975,0.275,1,5.5,NA,1,25,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spring Lake (1)","7/26/2005","7/26/2005","2005","Avon",41.7785,72.8261,"CT","CAES","N","N",15.05,150543.059,2100.53,1.491,2,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,"SAV",0,0,0,0,0,0,0,0,0,2,0.049,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8.7,0.6,2,177.5,1.5,1,10.3,NA,1,31.2,NA,2,39.38,1.125,1,0.8,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spring Lake (2)","9/24/2009","9/24/2009","2009","Southington",41.1347,73.4222,"CT","CAES","N","N",3.08,30902.216,1232.62,1.978,1.3,NA,0.6023,NA,NA,"Y",0.0535,0.0535,0.0535,0,0,1,0,0,0,0,1,0,0,6,2,4,"SAV",0,0.03164,0,0,0,0,0.02187,0,0,1,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.2,NA,1,263,NA,1,15.2,NA,1,21.3,NA,1,165,NA,1,1.3,NA,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Squantz Pond","7/19/2011","7/19/2011","2011","New Fairfield",41.5151,73.4784,"CT","CAES","N","N",107.65,1076463.808,8317.77,2.274,12,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,"SAV",0,0,0,0,0,0,0,0,0,2,0.0065,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.6,0.4,2,119.5,0.5,1,8.1,NA,1,27.2,NA,2,27.4,1.1,1,3.5,NA,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staffordville Reservoir","combined","8/11/2005","comb","Stafford Springs",42.0123,72.2554,"CT","CAES","Y","N",60.3,602981.61,6874.29,2.435,3.5,NA,0.672,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,"SAV",0,0,0,0,0,0,0,0,0,2,0.0227,0.0128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.175,0.175,2,65.75,12.75,2,0.05065,0.04915,2,26.85,1.55,2,10.6875,0.9375,2,2.75,0.45,"",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0
"Stamler Pond","9/13/2013","9/13/2013","2013","Stony Creek",41.260265,72.748786,"CT","MJM","N","N",0.0309,309,67.2706,1.08,1,NA,0.3663,NA,NA,"Y",0.05,0.05,0.05,0,0,1,0,0,0,0,0,0,0,1,1,0,"SAV",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.20642,0.038610826,NA,NA,NA,2,1.72125,0.118289888,NA,NA,NA,NA,NA,NA,NA,8.3387,NA,NA,NA,NA,1,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qualitative estimate of FP cover; no data on FP species % composition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swan Pond (1)","combined","2/29/2012","comb","Calverton",40.9022,72.7932,"NY","MJM","Y","N",23.22,232242.69,2642.34,1.547,1.829,NA,1,NA,NA,"Y",0.0041,0.01,0.001,0,0,1,0,0,0,1,0,0,1,9,3,6,"SAV",0,0.00174,0.00047,0,0,0.00167,0,0.00165,0,4,0.01955,0.00077,3,0.02116,0.009234465,2,0.99171,0.729546326,3,0.05031,0.009911744,3,0.03394,0.021739452,NA,13.4102,NA,3,6.33083,0.207797645,3,78.63333,5.987527546,2,7.575,0.25,2,26.2125,2.2375,NA,NA,NA,NA,NA,NA,"",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Swan Pond (2)","combined","3/12, 8/23","comb","East Patchogue",40.7699,72.9932,"NY","MJM","Y","N",4.39,43944.06,1500.87,2.02,2.134,NA,0.7627,NA,NA,"Y",0.0019,0.0038,1e-04,0,0,1,0,1,0,1,0,0,1,4,4,0,"SAV",0,0.00047,0.00094,0,0,2e-05,0,0.00051,0,2,0.0124,0.0098,2,0.04287,0.006945112,4,1.4055,0.126007069,2,1.19183,0.35125364,2,0.02332,0.002782849,NA,601.567,NA,2,7.0475,0.1725,2,175.56667,2.366666667,3,9.833333333,0.145296631,3,27.53333333,0.202758751,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sylvan Lake","9/8/2005","9/8/2005","2005","Watertown",41.5988,73.0713,"CT","CAES","N","N",3.68,36826.393,904.11,1.334,2,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,"SAV",0,0,0,0,0,0,0,0,0,2,0.024,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.25,0.05,2,138,0,1,8,NA,1,24.2,NA,2,13.88,0.375,1,1.4,NA,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Talmadges Ice Pond","7/7/2005","7/7/2005","2005","Branford",41.2674,72.789,"CT","CAES","N","N",0.45,4523.546,303.52,1.273,1,NA,0.9424,NA,NA,"Y",0.0797,0.0797,0.0797,0,0,1,0,0,0,0,0,0,0,4,1,3,"SAV",0,0.0797,0,0,0,0,0,0,0,2,0.107,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.55,0.45,2,204.5,2.5,1,4.1,NA,1,23.4,NA,2,71.63,4.125,1,1,NA,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talmage Pond","7/7/2006","7/7/2006","2006","Branford",41.2613,72.8375,"CT","CAES","N","N",1.21,12073.245,440.67,1.131,1,NA,0.9139,NA,NA,"Y",0.005,0.005,0.005,0,0,1,0,0,0,0,0,0,0,7,1,6,"SAV",0,0.005,0,0,0,0,0,0,0,2,0.065,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.75,0.05,2,52,0,1,2.5,NA,1,23.4,NA,2,10.15,0.35,NA,NA,NA,"",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Taunton Lake","combined","6/15/2010","comb","Newtown",41.41,73.3318,"CT","CAES","Y","N",50.18,501897.572,3729.97,1.485,10,7,0.7799,NA,NA,"Y",0.0031,0.0062,0,0,0,0,0,0,0,1,0,0,0,10,1,9,"SAV",0,0,0,0,0,0.00622,0,0,0,2,0.1485,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.4,0.05,2,147.5,15.5,2,0.05065,0.04915,2,21.75,1.75,2,34.5,2.65,2,2,0.5,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tilleys Pond","combined","7/13/2012","comb","Darien",41.0781,73.4721,"CT","CAES/MJM","Y","N",0.85,8642.899,444.3,1.348,0.8,NA,0.621,NA,NA,"Y",0.4356,1,0.0111,0,0,1,0,0,0,1,0,0,1,4,3,1,"shift",0,0.16006,0,0,0,0.04551,0,0.16,0,3,0.1851,0.0856,NA,NA,NA,3,0.79442,0.07417,NA,NA,NA,NA,NA,NA,NA,2.611,NA,3,7.9267,0.8933,3,239.4667,66.9384,2,2.633333333,2.233333333,2,26.08333333,2.083333333,1,42.75,NA,1,0.8,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timber Lake","9/7/2006","9/7/2006","2006","Sherman",41.5359,73.5119,"CT","CAES","N","N",4.86,48562.277,1169.39,1.331,3,NA,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,"SAV",0,0,0,0,0,0,0,0,0,2,0.021,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.7,0,2,68.45,0.65,1,7,NA,1,21.8,NA,2,28.85,1.15,1,2.7,NA,"",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
