"waterbody","date","dateNUTR","year","town","latitude","longitude","state","data_source","mult_survey","off_season","surfacearea_ha","surfaceaarea_sqm","perimeter_m","shoreline_development","depth_max_m","depth_avg_m","forested_shoreline_prop","inflow","outflow","FP_presence","FPcover_avg","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","regime","azolla_cover_prop","lminor_cover_prop","lvaldiviana_cover_prop","ltrisulca_cover_prop","riccia_cover_prop","spolyrhiza_cover_prop","wolffia_cover_prop","wbrasiliensis_cover_prop","wborealis_cover_prop","TOTP_n","TOTP_avg","TOTP_SE","PO4_n","PO4_avg","PO4_SE","TOTN_n","TOTN_avg","TOTN_SE","NO3_n","NO3_avg","NO3_SE","NH4_n","NH4_avg","NH4_SE","totNtotP_n","totNtotP_avg","totNtotP_SE","PH_n","PH_avg","PH_SE","COND_n","COND_avg","COND_SE","DO_n","DO_avg","DO_SE","TEMP_n","TEMP_avg","TEMP_SE","ALK_n","ALK_avg","ALK_SE","secchi_n","secchi_avg","secchi_SE","notes","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_verna","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","elatine_triandra","eleocharis","eleocharis_acic","eleocharis_ellip","ellocharis_parv","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_dub","ludwigia_lac","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","nymphoides_pelt","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_frie","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_vase","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"Private Pond (5) Upper/East","9/4/2012","9/4/2012","2012","Suffield",42.0027,72.6465,"CT","CAES","N","N",0.12,1214.06,123.43,1.058,0.5,NA,0,NA,NA,"Y",1,1,1,1,0,0,0,0,0,0,1,0,0,4,2,2,"FP",0.9,0,0,0,0,0,0.1,0,0,1,0.2035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.4,NA,1,184,NA,1,0.2,NA,1,20.4,NA,1,37.5,NA,1,0.5,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Putnam Park Pond","9/27/2011","9/27/2011","2011","Easton",41.3388,73.3776,"CT","CAES","N","N",5.67,60334.215,1830.95,2.103,2.5,NA,0.8044,NA,NA,"Y",0.0011,0.0011,0.0011,0,0,0,1,0,1,0,0,0,0,17,2,15,"SAV",0,0.00111,0,0,0,0,0,0,0,2,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.2,0,2,106.5,17.5,1,6.2,NA,1,21.7,NA,2,26.3,4.5,1,1.5,NA,"Riccia sp. is not reported by CAES, but is present in herbarium specimen from pond",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"Quaddick Reservoir","9/6/2007","9/6/2007","2007","Thompson",41.9597,71.8163,"CT","CAES","N","N",165.11,1651117.419,8230.72,2.553,6.096,2.5,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,"SAV",0,0,0,0,0,0,0,0,0,2,0.0065,0.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,2,52.05,6.25,1,4.2,NA,1,23.3,NA,2,3.75,0.75,1,2.8,NA,"",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"Quassapaug Lake","7/26/2011","7/26/2011","2011","Middlebury",41.5318,73.1533,"CT","CAES","N","N",119.79,1137661.94,9657.12,2.489,10,NA,0.8238,NA,NA,"Y",0.0021,0.0021,0.0021,0,0,0,0,0,0,1,1,0,0,25,2,23,"SAV",0,0,0,0,0,0.00172,0.00041,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.1,0.1,2,67.7,0.1,1,6.7,NA,1,26.5,NA,1,10.5,NA,1,4,NA,"",0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
"Quonnipaug Lake","combined","7/8/2010","comb","Guilford",41.3925,72.6974,"CT","CAES","Y","N",39.94,385473.72,5178.8,2.353,14,5.486,0.7547,NA,NA,"Y",0.0034,0.0034,0.0034,0,0,1,1,0,0,1,0,0,0,33,3,30,"SAV",0,0.00103,0,0.00137,0,0.00101,0,0,0,2,0.0101,0.0075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.125,0.125,2,116.6167,21.8833,2,0.05065,0.04915,2,26.1,2.8,2,31.9,3,2,3.45,0.45,"",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
"Redwing Pond","7/13/2009","7/13/2009","2009","Ansonia",41.3444,73.0525,"CT","CAES","N","N",0.49,4845.169,284.488,1.152,1,NA,0.8224,NA,NA,"Y",0.0173,0.0173,0.0173,0,0,1,0,0,0,1,0,0,0,10,2,8,"SAV",0,0.00479,0,0,0,0.01253,0,0,0,2,0.018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.95,0.05,2,57.95,2.85,1,12.1,NA,1,19.9,NA,2,22.15,1.85,1,1.1,NA,"",0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robinson Pond ","combined","3/12/2012","comb","East Patchogue",40.7648,72.9821,"NY","MJM","Y","N",3.34,32531.83,1117.46,1.725,0.5,NA,0.6941,NA,NA,"Y",0.3238,0.9,0.0112,0,0,1,0,0,0,0,0,0,0,2,1,1,"shift",0,0.32418,0,0,0,0,0,7e-04,0,4,0.03523,0.00114,4,0.113687038,0.019200406,4,1.04271,0.30831,4,0.78663231,0.119243923,4,0.063843351,0.013826847,NA,29.6004,NA,4,6.916875,0.226663699,4,222.4,4.496016756,3,9.133333333,1.178481839,3,25.05833333,2.479177171,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rogers Lake","7/13/2006","7/13/2006","2006","Lyme, Old Lyme",41.3642,72.301,"CT","CAES","N","N",105.22,1052182.669,8376.9,2.319,19.202,5.791,NA,NA,NA,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,"SAV",0,0,0,0,0,0,0,0,0,2,0.0065,5e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,0.2,2,47,2,1,7.9,NA,1,28.7,NA,2,6.75,0.75,1,2.3,NA,"",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"Rolling Ridge Pond","combined","6/12/2009","comb","Norwalk ",41.1346,73.4223,"CT","CAES","Y","N",0.4,2604.745,272.66,1.507,2,NA,0.7873,NA,NA,"Y",0.0144,0.0288,0,0,0,1,0,0,0,1,0,0,0,3,2,1,"SAV",0,0.01745,0,0,0,0.01139,0,0,0,2,0.1688,0.0593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6.75,0,2,206,69.5,2,0.05065,0.04915,2,22.4,3.2,2,26.85,8.05,2,0.6,0.1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseland Lake","6/19/2012","6/19/2012","2012","Woodstock",41.9509,71.9509,"CT","CAES","N","N",38.85,370254.47,3266.89,1.479,5,NA,0.8051,NA,NA,"Y",2e-04,2e-04,2e-04,0,0,0,0,0,0,1,0,0,0,12,1,11,"SAV",0,0,0,0,0,0.00022,0,0,0,2,0.2085,0.1264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7.25,0.75,2,95,1,1,9.6,NA,1,21.5,NA,2,28.5,6,1,1.5,NA,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
